Experiment,metric,crossvalidate.random_seed,crossvalidate.features,crossvalidate.cv,crossvalidate.output_categories,crossvalidate.use_pipeline,crossvalidate.output
,0.7559218403462891,42,10,5,all,False,crossval_results.json
,0.7712171302711475,42,10,5,all,False,crossval_results.json
bosom-tors,0.7887019361634825,42,150,15,all,False,crossval_results.json
unwet-acne,0.8008943103055457,42,100,15,all,False,crossval_results.json
jaggy-main,0.7775017493252908,10,150,15,all,False,crossval_results.json
splay-typo,0.7959189911414983,10,100,15,all,False,crossval_results.json
picky-suds,0.8072835705286191,1,150,15,all,False,crossval_results.json
fixed-huia,0.8007718808125923,1,100,15,all,False,crossval_results.json
dazed-jass,0.7612481792128898,0,150,15,all,False,crossval_results.json
sleek-hock,0.7917892064406431,0,100,15,all,False,crossval_results.json
rimed-leak,0.7960865890331326,42,150,15,all,True,crossval_results.json
wedgy-cony,0.785755919192118,42,100,15,all,True,crossval_results.json
about-keys,0.78123401071677,10,150,15,all,True,crossval_results.json
store-luce,0.7980476552272903,10,100,15,all,True,crossval_results.json
elfin-sail,0.7920657038145296,1,150,15,all,True,crossval_results.json
ortho-leak,0.7966211811096837,1,100,15,all,True,crossval_results.json
cheap-furl,0.7957883229147938,0,150,15,all,True,crossval_results.json
peaty-jynx,0.782530037887031,0,100,15,all,True,crossval_results.json
final-aces,0.7816523061094778,42,150,10,all,False,crossval_results.json
undug-jags,0.794397146659317,42,100,10,all,False,crossval_results.json
owing-ices,0.7957289206334426,10,150,10,all,False,crossval_results.json
chewy-lack,0.8000066676403957,10,100,10,all,False,crossval_results.json
eight-dawk,0.7937075009566611,1,150,10,all,False,crossval_results.json
unfed-keep,0.7968540449197432,1,100,10,all,False,crossval_results.json
treed-pans,0.7918204696265704,0,150,10,all,False,crossval_results.json
runty-toga,0.7971764310763719,0,100,10,all,False,crossval_results.json
wally-halm,0.7885902349051706,42,150,10,all,True,crossval_results.json
dirty-eyas,0.7970859510317773,42,100,10,all,True,crossval_results.json
japan-toke,0.797942304851181,10,150,10,all,True,crossval_results.json
tubal-impi,0.7967051272673215,10,100,10,all,True,crossval_results.json
stray-diva,0.7794907124228656,1,150,10,all,True,crossval_results.json
slack-yate,0.7882534925566294,1,100,10,all,True,crossval_results.json
beaut-kick,0.7842191261590925,0,150,10,all,True,crossval_results.json
vying-gird,0.7944899292385905,0,100,10,all,True,crossval_results.json
fixed-akes,0.7871414508628595,42,150,5,all,False,crossval_results.json
whist-acid,0.8056739632624677,42,100,5,all,False,crossval_results.json
curly-half,0.7785387784475815,10,150,5,all,False,crossval_results.json
spicy-epha,0.7771723749376303,10,100,5,all,False,crossval_results.json
tonic-lure,0.7923693927388589,1,150,5,all,False,crossval_results.json
cered-tint,0.7855018855402873,1,100,5,all,False,crossval_results.json
suave-keys,0.7802802471540025,0,150,5,all,False,crossval_results.json
amuck-cole,0.7979166589553153,0,100,5,all,False,crossval_results.json
heady-arcs,0.7709094330393996,42,150,5,all,True,crossval_results.json
campy-huts,0.7842097473186135,42,100,5,all,True,crossval_results.json
alike-agio,0.7890498782667249,10,150,5,all,True,crossval_results.json
rindy-tics,0.7792582274374515,10,100,5,all,True,crossval_results.json
matte-dunk,0.7921483139019632,1,150,5,all,True,crossval_results.json
angry-bawl,0.7943167650728791,1,100,5,all,True,crossval_results.json
fresh-slue,0.7820863807449892,0,150,5,all,True,crossval_results.json
gummy-gash,0.7833813237225303,0,100,5,all,True,crossval_results.json
